state,loc,description,url,refs
Alabama,Anniston,A crowd protested peacefully along Quintard Avenue on June 1 and 2.[3],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.annistonstar.com/news/anniston/local-protests-continue-after-george-floyd-s-death/article_d2ff18e2-a456-11ea-962e-cfb98489f7d4.html
Alabama,Ashland,A crowd protested peacefully in front of the Clay County courthouse on June 2.[4],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.wbrc.com/2020/06/02/peaceful-protest-held-ashland/
Alabama,Auburn,Hundreds of demonstrators held a largely peaceful protest on May 31 in downtown Auburn at Toomer's Corner.[5],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.wsfa.com/2020/05/31/hundreds-gather-auburn-call-justice-racial-equality/
Alabama,Birmingham,"Police said the overnight riots resulted in burglaries at 14 businesses with another 13 businesses that had significant damage, while firefighters responded to more than 22 fires including five at commercial buildings. There were also three house fires linked to the rioting, as well as multiple vehicle and dumpster fires, according to authorities. On June 1, the mayor declared a curfew and an indefinite state of emergency for the city and pledged to remove the Confederate monument at Linn Park.[8][9] The monument was partially removed by city authorities on June 2.[10]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.al.com/news/2020/06/watch-live-birmingham-officials-discuss-night-of-protests-riots.html	https://www.al.com/news/2020/06/the-ugly-aftermath-of-birminghams-night-of-chaos.html	https://patch.com/alabama/birmingham-al/linn-park-confederate-monument-removed-city
Alabama,Dothan,"On May 31, a large crowd gathered peacefully at the Houston County Courthouse, holding signs, chanting, and listening to speakers.[11]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.dothanfirst.com/news/happening-now-black-lives-matter-protest-in-front-of-the-houston-county-courthouse/
Alabama,Hoover,At least 100 protesters attended a march along U.S. Route 31 to the Hoover Municipal complex on May 30; 20 people were arrested.[6],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html
Alabama,Huntsville,"Protesters marched through downtown on May 30.[6] On June 1, a protest began at 3:00 pm with speakers, music and an eight-minute moment of silence at the Madison County Courthouse; over 1,000 people joined the protest.[12] The white mayor and a black city councilman asked people to ""protest responsibly and peacefully."" The mayor ""took a knee"" and begged the protesters to leave in a responsible manner. The protest officially ended at 8:00 pm,[12] and police had asked they disperse starting at 6:00 pm, but over one hundred refused to leave the area.[13] An activist leader replied, ""It's not about black response. It's about privilege response."" Police fired tear gas to disperse the crowd.[12] Two people were arrested at the protest. One was charged with carrying a firearm at a demonstration.[14]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html	https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html	https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html	https://whnt.com/news/huntsville/huntsville-police-chief-reviews-mondays-protest/	https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html	https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html
Alabama,Jacksonville,A group protested downtown on June 1.[15],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.firstcoastnews.com/article/news/local/protest-planned-in-downtown-jacksonville-monday/77-28e02e7e-1587-4eed-9db4-a5bfbb3ab41d
Alabama,Mobile,"On May 31, a march starting at Mardi Gras Park looped around the city and returned to the park. A part of the group attempted to block I-10, but they were stopped by police, who blocked the road themselves and later dispersed the crowd with tear gas. A police van window was smashed, but a public safety director distributed his phone number asking them to express their concerns.[16][17][18]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.fox10tv.com/news/mobile_county/demonstrators-march-for-george-floyd-in-downtown-mobile/article_56731a90-a374-11ea-8d20-b773f49ce72b.html	https://mynbc15.com/news/local/protesters-to-march-in-mobile-over-death-of-george-floyd	https://www.fox10tv.com/news/mobile_county/demonstrators-march-hold-vigil-for-george-floyd-in-downtown-mobile/article_56731a90-a374-11ea-8d20-b773f49ce72b.html
Alabama,Montgomery,Hundreds of people protested on the steps of the Alabama State Capitol on May 30.[19],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.montgomeryadvertiser.com/story/news/2020/05/30/montgomery-protesters-decry-george-floyds-murder-steven-reed-lynching-alabama-capitol/5293099002/
